dbid;expid;resid;ppid;gender_m_f;age_months;type_risk_control;contrast_native_nonnative;first_alternation_alt_nalt;group_one_two;speaker_multiple_single;trained_train_ntrain;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;phase;trialnum;lt;nlt;looks;lookaways;crit_met;alt_type
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;PHASE_HAB;1;3212;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;PHASE_HAB;2;3361;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;PHASE_HAB;3;9863;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;PHASE_HAB;4;3152;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;PHASE_HAB;5;1994;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;PHASE_HAB;6;701;2000;1;1;true;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_HAB;1;5778;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_HAB;2;3103;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_HAB;3;1305;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_HAB;4;608;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_HAB;5;472;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_HAB;6;422;2000;1;1;true;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_HAB;1;4419;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_HAB;2;4617;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_HAB;3;4427;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_HAB;4;2356;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_HAB;5;887;2000;1;1;false;999
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_HAB;6;1466;2000;1;1;true;999
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_HAB;1;2596;2000;1;1;false;999
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_HAB;2;2537;2000;1;1;false;999
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_HAB;3;2846;2000;1;1;false;999
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_HAB;4;857;2000;1;1;false;999
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_HAB;5;697;2000;1;1;false;999
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_HAB;6;1019;2000;1;1;true;999
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;PHASE_HAB;1;2475;2887;2;2;false;999
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;PHASE_HAB;2;2570;2000;1;1;false;999
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;PHASE_HAB;3;2510;2000;1;1;false;999
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;PHASE_HAB;4;1415;2000;1;1;false;999
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;PHASE_HAB;5;634;2000;1;1;false;999
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;PHASE_HAB;6;552;2000;1;1;true;999
