dbid;expid;resid;ppid;gender_m_f;age_months;type_risk_control;contrast_native_nonnative;first_alternation_alt_nalt;group_one_two;speaker_multiple_single;trained_train_ntrain;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;trial;tstart;tend;sound;face
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;1;103094;103723;stimuli/sounds/Speaker1_saen_1.wav;face-hab-2.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;1;104723;105381;stimuli/sounds/Speaker1_saen_8.wav;face-hab-2.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;1;106381;107212;stimuli/sounds/Speaker1_saen_12.wav;face-hab-2.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;2;111586;112175;stimuli/sounds/Speaker1_saen_2.wav;face-hab-1.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;2;113175;113884;stimuli/sounds/Speaker1_saen_10.wav;face-hab-1.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;2;114884;115440;stimuli/sounds/Speaker1_saen_9.wav;face-hab-1.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;3;117579;118254;stimuli/sounds/Speaker1_saen_3.wav;face-hab-2.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;3;119254;119859;stimuli/sounds/Speaker1_saen_6.wav;face-hab-2.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;3;120859;121415;stimuli/sounds/Speaker1_saen_9.wav;face-hab-2.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;4;124241;124903;stimuli/sounds/Speaker1_saen_4.wav;face-hab-4.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;4;125903;126578;stimuli/sounds/Speaker1_saen_3.wav;face-hab-4.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;5;129666;130281;stimuli/sounds/Speaker1_saen_5.wav;face-hab-2.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;5;131281;131869;stimuli/sounds/Speaker1_saen_2.wav;face-hab-2.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;6;134501;135106;stimuli/sounds/Speaker1_saen_6.wav;face-hab-1.png
01;hvf;JD;donvanvliet;m;666;risk;nonnative;nalt;two;single;ntrain;ALL;1;2018-11-07;14:11;0;0;3;0;1;6;136106;136769;stimuli/sounds/Speaker1_saen_4.wav;face-hab-1.png
01;hvf;JD;frankzappa;m;667;risk;nonnative;nalt;one;multiple;ntrain;ALL;4;2018-11-07;15:30;0;0;3;0;1;1;87820;88368;stimuli/sounds/Speaker1_sEn_1.wav;face-hab-4.png
01;hvf;JD;frankzappa;m;667;risk;nonnative;nalt;one;multiple;ntrain;ALL;4;2018-11-07;15:30;0;0;3;0;1;1;89368;90022;stimuli/sounds/Speaker2_sEn_1.wav;face-hab-4.png
01;hvf;JD;frankzappa;m;667;risk;nonnative;nalt;one;multiple;ntrain;ALL;4;2018-11-07;15:30;0;0;3;0;1;1;91022;91781;stimuli/sounds/Speaker10_sEn_1.wav;face-hab-4.png
01;hvf;JD;frankzappa;m;667;risk;nonnative;nalt;one;multiple;ntrain;ALL;4;2018-11-07;15:30;0;0;3;0;1;1;92781;93540;stimuli/sounds/Speaker7_sEn_1.wav;face-hab-4.png
