dbid;expid;resid;ppid;gender_m_f;age_months;type_risk_control;contrast_native_nonnative;first_alternation_alt_nalt;group_one_two;speaker_multiple_single;trained_train_ntrain;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;trial;tstart;tend;sound;face
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;239579;239829;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;240829;241079;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;242079;242329;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;243329;243579;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;244579;244829;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;245829;246079;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;247079;247329;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;248329;248579;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;249579;249829;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;250829;251079;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;252079;252329;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;253329;253579;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;254579;254829;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;255829;256079;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;257079;257329;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;258329;258579;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;259579;259829;some beep;none
