dbid;expid;resid;ppid;gender_m_f;age_months;type_risk_control;contrast_native_nonnative;first_alternation_alt_nalt;group_one_two;speaker_multiple_single;trained_train_ntrain;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;trial;tstart;tend;sound;face
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;58480;58729;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;59729;59979;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;60979;61229;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;62229;62479;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;63479;63729;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;64729;64979;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;65979;66229;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;67229;67479;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;68479;68729;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;69729;69979;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;70979;71229;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;72229;72479;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;73479;73729;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;74729;74979;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;75979;76229;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;1;2018-11-19;11:01;0;0;3;0;1;0;77229;77479;some beep;none
